Data	Text	GBP	JPY	RUB	NOK	EUR	USD	CHF
12/31/2004	a	5.7699	2.9168	0.1077	0.495	4.079	2.9904	2.6421
1/31/2005	b	5.8657	3.0078	0.111	0.491	4.0503	3.12	2.6136
2/28/2005	c	5.6756	2.8277	0.1066	0.4757	3.9119	2.9501	2.541
3/31/2005	a	5.9291	2.9481	0.1131	0.4973	4.0837	3.1518	2.6341
4/30/2005	b	6.3067	3.134	0.1187	0.5244	4.2756	3.2988	2.7801
5/31/2005	?	6.0539	3.0825	0.118	0.5178	4.1212	3.3265	2.6719
6/30/2005	a	6.0251	3.027	0.1167	0.511	4.0401	3.3461	2.6072
7/31/2005	?	5.9087	3.0008	0.1177	0.5161	4.0758	3.3689	2.6114
8/31/2005	c	5.9182	2.9758	0.1161	0.514	4.0495	3.314	2.6117
9/30/2005	a	5.7281	2.8765	0.1141	0.4975	3.9166	3.2575	2.518
10/31/2005	b	5.8844	2.8531	0.116	0.5111	3.9893	3.3067	2.5813
11/30/2005	?	5.7116	2.773	0.115	0.4914	3.9053	3.3165	2.522
12/31/2005	a	5.6253	2.779	0.1135	0.4829	3.8598	3.2613	2.4788
1/31/2006	b	5.6103	2.7012	0.1124	0.473	3.8285	3.163	2.4638
2/28/2006	c	5.5369	2.7346	0.113	0.4696	3.7726	3.1768	2.4101
3/31/2006	a	5.6503	2.7643	0.1172	0.4941	3.9357	3.2491	2.4913
4/30/2006	ó	5.5713	2.705	0.1132	0.4992	3.874	3.0841	2.4619
5/31/2006	c	5.7598	2.7415	0.1138	0.5031	3.9472	3.0671	2.5324
6/30/2006	a	5.8308	2.7727	0.1181	0.5106	4.0434	3.1816	2.5803
7/31/2006	b	5.7537	2.6973	0.115	0.5	3.9321	3.0831	2.501
8/31/2006	c	5.8433	2.6142	0.1147	0.4867	3.9369	3.0651	2.4983
9/30/2006	a	5.8788	2.6616	0.1173	0.4829	3.9835	3.1425	2.5099
10/31/2006	b	5.8203	2.6011	0.1144	0.4664	3.8871	3.0631	2.4473
11/30/2006	a	5.6576	2.4877	0.1099	0.4655	3.8166	2.8911	2.3972
12/31/2006	?	5.7063	2.4463	0.1105	0.4635	3.8312	2.9105	2.3842
1/31/2007	c	5.9382	2.5028	0.1145	0.482	3.932	3.04	2.4194
2/28/2007	a	5.8071	2.5066	0.1136	0.4831	3.9175	2.9699	2.4293
3/31/2007	b	5.6867	2.461	0.1117	0.4771	3.8695	2.9058	2.3815
4/30/2007	?	5.5435	2.3289	0.1082	0.4666	3.7879	2.7859	2.3036
5/31/2007	a	5.6332	2.3398	0.11	0.4717	3.8275	2.8467	2.3247
6/30/2007	b	5.6005	2.2653	0.1084	0.4734	3.7658	2.7989	2.273
7/31/2007	c	5.6181	2.3184	0.1082	0.4752	3.79	2.7653	2.295
8/31/2007	a	5.6424	2.4075	0.1092	0.4809	3.823	2.799	2.3215
9/30/2007	b	5.4049	2.3069	0.1068	0.4903	3.7775	2.6647	2.2762
10/31/2007	c	5.2179	2.1839	0.1019	0.4689	3.6306	2.5155	2.1658
11/30/2007	a	5.0815	2.2272	0.1008	0.4469	3.6267	2.4589	2.1943
12/31/2007	b	4.8688	2.1728	0.0995	0.4497	3.582	2.435	2.1614
1/31/2008	c	4.8593	2.292	0.1	0.45	3.626	2.4438	2.2562
2/29/2008	a	4.5901	2.2184	0.0965	0.4462	3.5204	2.3155	2.2083
3/31/2008	b	4.4266	2.2429	0.0949	0.4388	3.5258	2.2305	2.2446
4/30/2008	c	4.3822	2.1405	0.094	0.4326	3.4604	2.2267	2.1437
5/31/2008	a	4.3004	2.0683	0.0919	0.4259	3.3788	2.1824	2.0767
6/30/2008	b	4.2271	2.0156	0.0906	0.4197	3.3542	2.1194	2.0907
7/31/2008	c	4.0637	1.896	0.0876	0.3992	3.2026	2.0509	1.9596
8/31/2008	a	4.1581	2.0908	0.0924	0.4219	3.346	2.2691	2.0723
9/30/2008	b	4.2885	2.2568	0.0934	0.4108	3.4083	2.3708	2.1587
10/31/2008	a	4.6092	2.9372	0.1054	0.4265	3.633	2.8472	2.4803
11/30/2008	b	4.4943	3.0651	0.1053	0.4225	3.7572	2.9196	2.4273
12/31/2008	c	4.2913	3.2812	0.1008	0.4238	4.1724	2.9618	2.8014
1/31/2009	a	4.9311	3.8632	0.0978	0.4997	4.4392	3.4561	2.9907
